season_year,iso_week,defense_team,opponent_team,position,points_allowed
2024,45,ATL,NO,QB,21.3
2024,45,ATL,NO,RB,13.9
2024,45,ATL,NO,WR/TE,53.599999999999994
2024,45,BAL,CIN,QB,33.82
2024,45,BAL,CIN,RB,13.4
2024,45,BAL,CIN,WR/TE,61.7
2024,45,BUF,IND,QB,10.88
2024,45,BUF,IND,RB,31.7
2024,45,BUF,IND,WR/TE,31.799999999999997
2024,45,CAR,NYG,QB,12.0
2024,45,CAR,NYG,RB,19.1
2024,45,CAR,NYG,WR/TE,21.9
2024,45,CHI,NE,QB,11.76
2024,45,CHI,NE,RB,12.7
2024,45,CHI,NE,WR/TE,23.700000000000003
2024,45,CIN,BAL,QB,30.9
2024,45,CIN,BAL,RB,13.7
2024,45,CIN,BAL,WR/TE,52.9
2024,45,DAL,PHI,QB,29.98
2024,45,DAL,PHI,RB,21.6
2024,45,DAL,PHI,WR/TE,30.6
2024,45,DEN,KC,QB,27.74
2024,45,DEN,KC,RB,10.3
2024,45,DEN,KC,WR/TE,31.7
2024,45,DET,HOU,QB,9.78
2024,45,DET,HOU,RB,15.0
2024,45,DET,HOU,WR/TE,25.3
2024,45,HOU,DET,QB,13.1
2024,45,HOU,DET,RB,27.7
2024,45,HOU,DET,WR/TE,29.9
2024,45,IND,BUF,QB,18.099999999999998
2024,45,IND,BUF,RB,15.1
2024,45,IND,BUF,WR/TE,27.5
2024,45,JAX,MIN,QB,6.28
2024,45,JAX,MIN,RB,21.3
2024,45,JAX,MIN,WR/TE,26.0
2024,45,KC,DEN,QB,16.8
2024,45,KC,DEN,RB,7.200000000000001
2024,45,KC,DEN,WR/TE,35.3
2024,45,KC,TB,QB,18.8
2024,45,KC,TB,RB,14.6
2024,45,KC,TB,WR/TE,30.9
2024,45,LAC,TEN,QB,19.1
2024,45,LAC,TEN,RB,11.399999999999999
2024,45,LAC,TEN,WR/TE,27.199999999999996
2024,45,MIN,JAX,QB,5.24
2024,45,MIN,JAX,RB,4.7
2024,45,MIN,JAX,WR/TE,16.44
2024,45,NE,CHI,QB,13.4
2024,45,NE,CHI,RB,6.6
2024,45,NE,CHI,WR/TE,13.9
2024,45,NO,ATL,QB,10.24
2024,45,NO,ATL,RB,59.5
2024,45,NO,ATL,WR/TE,28.4
2024,45,NYG,CAR,QB,25.48
2024,45,NYG,CAR,RB,46.0
2024,45,NYG,CAR,WR/TE,18.8
2024,45,NYJ,ARI,QB,28.68
2024,45,NYJ,ARI,RB,29.7
2024,45,NYJ,ARI,WR/TE,22.099999999999998
2024,45,PHI,DAL,QB,-1.46
2024,45,PHI,DAL,RB,5.8
2024,45,PHI,DAL,WR/TE,5.0
2024,45,PIT,WAS,QB,9.38
2024,45,PIT,WAS,RB,24.2
2024,45,PIT,WAS,WR/TE,19.5
2024,45,SF,TB,QB,8.94
2024,45,SF,TB,RB,27.7
2024,45,SF,TB,WR/TE,6.6
2024,45,TB,KC,QB,65.74000000000001
2024,45,TB,KC,RB,18.6
2024,45,TB,KC,WR/TE,64.60000000000001
2024,45,TB,SF,QB,23.82
2024,45,TB,SF,RB,11.2
2024,45,TB,SF,WR/TE,41.9
2024,45,TEN,LAC,QB,19.76
2024,45,TEN,LAC,RB,17.4
2024,45,TEN,LAC,WR/TE,22.3
2024,45,WAS,PIT,QB,18.1
2024,45,WAS,PIT,RB,32.4
2024,45,WAS,PIT,WR/TE,44.199999999999996
2024,46,ATL,DEN,QB,43.08
2024,46,ATL,DEN,RB,19.099999999999998
2024,46,ATL,DEN,WR/TE,65.3
2024,46,BAL,PIT,QB,8.0
2024,46,BAL,PIT,RB,25.400000000000002
2024,46,BAL,PIT,WR/TE,14.8
2024,46,BUF,KC,QB,21.64
2024,46,BUF,KC,RB,7.199999999999999
2024,46,BUF,KC,WR/TE,41.1
2024,46,CHI,GB,QB,20.24
2024,46,CHI,GB,RB,22.4
2024,46,CHI,GB,WR/TE,24.5
2024,46,CIN,LAC,QB,24.38
2024,46,CIN,LAC,RB,20.7
2024,46,CIN,LAC,WR/TE,42.0
2024,46,CLE,NO,QB,27.6
2024,46,CLE,NO,RB,42.92
2024,46,CLE,NO,WR/TE,79.52
2024,46,DEN,ATL,QB,5.88
2024,46,DEN,ATL,RB,13.9
2024,46,DEN,ATL,WR/TE,17.0
2024,46,DET,JAX,QB,4.22
2024,46,DET,JAX,RB,3.5999999999999996
2024,46,DET,JAX,WR/TE,18.419999999999998
2024,46,GB,CHI,QB,27.04
2024,46,GB,CHI,RB,24.5
2024,46,GB,CHI,WR/TE,28.2
2024,46,IND,NYJ,QB,17.759999999999998
2024,46,IND,NYJ,RB,26.8
2024,46,IND,NYJ,WR/TE,26.3
2024,46,JAX,DET,QB,55.599999999999994
2024,46,JAX,DET,RB,57.7
2024,46,JAX,DET,WR/TE,61.3
2024,46,KC,BUF,QB,23.68
2024,46,KC,BUF,RB,16.1
2024,46,KC,BUF,WR/TE,38.800000000000004
2024,46,LA,MIA,QB,8.18
2024,46,LA,MIA,RB,17.599999999999998
2024,46,LA,MIA,WR/TE,30.599999999999998
2024,46,LA,NE,QB,18.48
2024,46,LA,NE,RB,11.1
2024,46,LA,NE,WR/TE,38.9
2024,46,LAC,CIN,QB,29.04
2024,46,LAC,CIN,RB,15.3
2024,46,LAC,CIN,WR/TE,47.5
2024,46,LV,MIA,QB,23.52
2024,46,LV,MIA,RB,29.0
2024,46,LV,MIA,WR/TE,46.900000000000006
2024,46,MIA,LA,QB,9.72
2024,46,MIA,LA,RB,7.8
2024,46,MIA,LA,WR/TE,29.1
2024,46,MIA,LV,QB,17.98
2024,46,MIA,LV,RB,17.5
2024,46,MIA,LV,WR/TE,28.0
2024,46,MIN,TEN,QB,15.6
2024,46,MIN,TEN,RB,3.7
2024,46,MIN,TEN,WR/TE,33.3
2024,46,NE,LA,QB,27.8
2024,46,NE,LA,RB,11.399999999999999
2024,46,NE,LA,WR/TE,52.800000000000004
2024,46,NO,CLE,QB,23.900000000000002
2024,46,NO,CLE,RB,9.4
2024,46,NO,CLE,WR/TE,48.6
2024,46,NYJ,IND,QB,27.979999999999997
2024,46,NYJ,IND,RB,12.5
2024,46,NYJ,IND,WR/TE,32.8
2024,46,PHI,WAS,QB,14.139999999999999
2024,46,PHI,WAS,RB,36.8
2024,46,PHI,WAS,WR/TE,15.2
2024,46,PIT,BAL,QB,14.88
2024,46,PIT,BAL,RB,10.5
2024,46,PIT,BAL,WR/TE,30.1
2024,46,SEA,SF,QB,17.46
2024,46,SEA,SF,RB,12.8
2024,46,SEA,SF,WR/TE,19.099999999999998
2024,46,SF,SEA,QB,15.74
2024,46,SF,SEA,RB,12.4
2024,46,SF,SEA,WR/TE,22.2
2024,46,TEN,MIN,QB,23.12
2024,46,TEN,MIN,RB,23.099999999999998
2024,46,TEN,MIN,WR/TE,35.9
2024,46,WAS,PHI,QB,18.74
2024,46,WAS,PHI,RB,36.7
2024,46,WAS,PHI,WR/TE,16.3
2024,47,ARI,SEA,QB,12.36
2024,47,ARI,SEA,RB,11.5
2024,47,ARI,SEA,WR/TE,26.2
2024,47,CAR,KC,QB,47.879999999999995
2024,47,CAR,KC,RB,10.0
2024,47,CAR,KC,WR/TE,55.2
2024,47,CHI,MIN,QB,21.66
2024,47,CHI,MIN,RB,22.0
2024,47,CHI,MIN,WR/TE,46.199999999999996
2024,47,CLE,PIT,QB,16.6
2024,47,CLE,PIT,RB,22.8
2024,47,CLE,PIT,WR/TE,29.8
2024,47,DAL,HOU,QB,10.98
2024,47,DAL,HOU,RB,33.50000000000001
2024,47,DAL,HOU,WR/TE,21.7
2024,47,DAL,WAS,QB,28.5
2024,47,DAL,WAS,RB,9.4
2024,47,DAL,WAS,WR/TE,37.6
2024,47,DEN,LV,QB,12.6
2024,47,DEN,LV,RB,15.8
2024,47,DEN,LV,WR/TE,25.8
2024,47,DET,IND,QB,12.48
2024,47,DET,IND,RB,7.0
2024,47,DET,IND,WR/TE,17.2
2024,47,GB,SF,QB,8.46
2024,47,GB,SF,RB,14.96
2024,47,GB,SF,WR/TE,21.7
2024,47,HOU,DAL,QB,16.36
2024,47,HOU,DAL,RB,7.5
2024,47,HOU,DAL,WR/TE,40.1
2024,47,HOU,TEN,QB,16.12
2024,47,HOU,TEN,RB,19.4
2024,47,HOU,TEN,WR/TE,38.6
2024,47,IND,DET,QB,17.56
2024,47,IND,DET,RB,42.6
2024,47,IND,DET,WR/TE,22.8
2024,47,KC,CAR,QB,39.92
2024,47,KC,CAR,RB,23.400000000000002
2024,47,KC,CAR,WR/TE,47.6
2024,47,LA,PHI,QB,10.620000000000001
2024,47,LA,PHI,RB,50.4
2024,47,LA,PHI,WR/TE,12.600000000000001
2024,47,LV,DEN,QB,20.18
2024,47,LV,DEN,RB,6.3
2024,47,LV,DEN,WR/TE,39.800000000000004
2024,47,MIA,NE,QB,10.88
2024,47,MIA,NE,RB,7.9
2024,47,MIA,NE,WR/TE,26.9
2024,47,MIN,CHI,QB,57.4
2024,47,MIN,CHI,RB,13.7
2024,47,MIN,CHI,WR/TE,60.699999999999996
2024,47,NE,MIA,QB,34.78
2024,47,NE,MIA,RB,23.1
2024,47,NE,MIA,WR/TE,42.6
2024,47,NYG,TB,QB,18.66
2024,47,NYG,TB,RB,38.8
2024,47,NYG,TB,WR/TE,21.3
2024,47,PHI,LA,QB,17.22
2024,47,PHI,LA,RB,9.8
2024,47,PHI,LA,WR/TE,37.4
2024,47,PIT,CLE,QB,11.46
2024,47,PIT,CLE,RB,20.7
2024,47,PIT,CLE,WR/TE,19.0
2024,47,SEA,ARI,QB,10.46
2024,47,SEA,ARI,RB,9.299999999999999
2024,47,SEA,ARI,WR/TE,24.400000000000002
2024,47,SF,GB,QB,14.72
2024,47,SF,GB,RB,35.3
2024,47,SF,GB,WR/TE,27.7
2024,47,TB,NYG,QB,10.92
2024,47,TB,NYG,RB,12.0
2024,47,TB,NYG,WR/TE,19.6
2024,47,TEN,HOU,QB,15.68
2024,47,TEN,HOU,RB,4.5
2024,47,TEN,HOU,WR/TE,34.4
2024,47,WAS,DAL,QB,17.68
2024,47,WAS,DAL,RB,8.4
2024,47,WAS,DAL,WR/TE,40.5
2024,48,ARI,MIN,QB,19.6
2024,48,ARI,MIN,RB,11.4
2024,48,ARI,MIN,WR/TE,38.8
2024,48,ATL,LAC,QB,6.02
2024,48,ATL,LAC,RB,3.1999999999999997
2024,48,ATL,LAC,WR/TE,15.0
2024,48,BAL,LAC,QB,17.62
2024,48,BAL,LAC,RB,13.3
2024,48,BAL,LAC,WR/TE,19.900000000000002
2024,48,BAL,PHI,QB,11.62
2024,48,BAL,PHI,RB,17.999999999999996
2024,48,BAL,PHI,WR/TE,16.8
2024,48,BUF,SF,QB,2.16
2024,48,BUF,SF,RB,22.1
2024,48,BUF,SF,WR/TE,4.6
2024,48,CAR,TB,QB,10.299999999999999
2024,48,CAR,TB,RB,32.0
2024,48,CAR,TB,WR/TE,26.5
2024,48,CHI,DET,QB,21.54
2024,48,CHI,DET,RB,25.7
2024,48,CHI,DET,WR/TE,30.599999999999998
2024,48,CIN,PIT,QB,27.56
2024,48,CIN,PIT,RB,49.49999999999999
2024,48,CIN,PIT,WR/TE,44.8
2024,48,DAL,NYG,QB,14.54
2024,48,DAL,NYG,RB,16.0
2024,48,DAL,NYG,WR/TE,19.6
2024,48,DET,CHI,QB,61.14
2024,48,DET,CHI,RB,7.4
2024,48,DET,CHI,WR/TE,55.8
2024,48,GB,MIA,QB,23.2
2024,48,GB,MIA,RB,32.1
2024,48,GB,MIA,WR/TE,35.900000000000006
2024,48,HOU,JAX,QB,18.24
2024,48,HOU,JAX,RB,9.3
2024,48,HOU,JAX,WR/TE,56.8
2024,48,IND,NE,QB,17.32
2024,48,IND,NE,RB,21.599999999999998
2024,48,IND,NE,WR/TE,28.299999999999997
2024,48,JAX,HOU,QB,14.62
2024,48,JAX,HOU,RB,18.0
2024,48,JAX,HOU,WR/TE,28.9
2024,48,KC,LV,QB,19.6
2024,48,KC,LV,RB,11.8
2024,48,KC,LV,WR/TE,45.8
2024,48,LA,NO,QB,16.16
2024,48,LA,NO,RB,17.3
2024,48,LA,NO,WR/TE,35.199999999999996
2024,48,LAC,ATL,QB,2.1
2024,48,LAC,ATL,RB,41.2
2024,48,LAC,ATL,WR/TE,20.1
2024,48,LAC,BAL,QB,22.58
2024,48,LAC,BAL,RB,14.0
2024,48,LAC,BAL,WR/TE,54.2
2024,48,LV,KC,QB,33.88
2024,48,LV,KC,RB,6.3999999999999995
2024,48,LV,KC,WR/TE,43.2
2024,48,MIA,GB,QB,18.96
2024,48,MIA,GB,RB,22.599999999999998
2024,48,MIA,GB,WR/TE,34.2
2024,48,MIN,ARI,QB,14.9
2024,48,MIN,ARI,RB,11.9
2024,48,MIN,ARI,WR/TE,31.0
2024,48,NE,IND,QB,19.16
2024,48,NE,IND,RB,32.6
2024,48,NE,IND,WR/TE,16.2
2024,48,NO,LA,QB,15.62
2024,48,NO,LA,RB,21.5
2024,48,NO,LA,WR/TE,30.1
2024,48,NYG,DAL,QB,11.8
2024,48,NYG,DAL,RB,18.9
2024,48,NYG,DAL,WR/TE,25.2
2024,48,NYJ,SEA,QB,10.44
2024,48,NYJ,SEA,RB,14.8
2024,48,NYJ,SEA,WR/TE,24.1
2024,48,PHI,BAL,QB,24.18
2024,48,PHI,BAL,RB,12.299999999999999
2024,48,PHI,BAL,WR/TE,35.4
2024,48,PIT,CIN,QB,18.96
2024,48,PIT,CIN,RB,19.099999999999998
2024,48,PIT,CIN,WR/TE,45.9
2024,48,SEA,NYJ,QB,16.7
2024,48,SEA,NYJ,RB,16.7
2024,48,SEA,NYJ,WR/TE,32.7
2024,48,SF,BUF,QB,27.22
2024,48,SF,BUF,RB,30.700000000000003
2024,48,SF,BUF,WR/TE,23.1
2024,48,TB,CAR,QB,27.62
2024,48,TB,CAR,RB,4.1
2024,48,TB,CAR,WR/TE,45.7
2024,48,TEN,WAS,QB,29.04
2024,48,TEN,WAS,RB,52.4
2024,48,TEN,WAS,WR/TE,38.4
2024,48,WAS,TEN,QB,14.18
2024,48,WAS,TEN,RB,5.1
2024,48,WAS,TEN,WR/TE,27.900000000000002
2024,49,ARI,SEA,QB,13.32
2024,49,ARI,SEA,RB,35.7
2024,49,ARI,SEA,WR/TE,23.2
2024,49,ATL,MIN,QB,34.379999999999995
2024,49,ATL,MIN,RB,21.8
2024,49,ATL,MIN,WR/TE,88.8
2024,49,BUF,LA,QB,20.8
2024,49,BUF,LA,RB,26.4
2024,49,BUF,LA,WR/TE,50.6
2024,49,CAR,PHI,QB,24.22
2024,49,CAR,PHI,RB,16.3
2024,49,CAR,PHI,WR/TE,22.1
2024,49,CHI,SF,QB,19.7
2024,49,CHI,SF,RB,31.7
2024,49,CHI,SF,WR/TE,40.8
2024,49,CLE,DEN,QB,18.66
2024,49,CLE,DEN,RB,16.1
2024,49,CLE,DEN,WR/TE,48.0
2024,49,CLE,PIT,QB,16.02
2024,49,CLE,PIT,RB,28.200000000000003
2024,49,CLE,PIT,WR/TE,29.1
2024,49,DEN,CLE,QB,31.28
2024,49,DEN,CLE,RB,16.7
2024,49,DEN,CLE,WR/TE,63.3
2024,49,DET,GB,QB,12.54
2024,49,DET,GB,RB,25.6
2024,49,DET,GB,WR/TE,26.6
2024,49,GB,DET,QB,22.06
2024,49,GB,DET,RB,35.7
2024,49,GB,DET,WR/TE,35.1
2024,49,JAX,TEN,QB,7.02
2024,49,JAX,TEN,RB,14.7
2024,49,JAX,TEN,WR/TE,14.4
2024,49,KC,LAC,QB,14.92
2024,49,KC,LAC,RB,13.0
2024,49,KC,LAC,WR/TE,27.3
2024,49,LA,BUF,QB,51.78
2024,49,LA,BUF,RB,3.0
2024,49,LA,BUF,WR/TE,60.9
2024,49,LAC,KC,QB,32.5
2024,49,LAC,KC,RB,9.0
2024,49,LAC,KC,WR/TE,35.099999999999994
2024,49,LV,TB,QB,19.0
2024,49,LV,TB,RB,29.4
2024,49,LV,TB,WR/TE,38.1
2024,49,MIA,NYJ,QB,25.46
2024,49,MIA,NYJ,RB,20.8
2024,49,MIA,NYJ,WR/TE,50.3
2024,49,MIN,ATL,QB,9.76
2024,49,MIN,ATL,RB,45.7
2024,49,MIN,ATL,WR/TE,31.8
2024,49,NO,NYG,QB,12.98
2024,49,NO,NYG,RB,15.100000000000001
2024,49,NO,NYG,WR/TE,18.9
2024,49,NYG,NO,QB,22.76
2024,49,NYG,NO,RB,18.5
2024,49,NYG,NO,WR/TE,29.8
2024,49,NYJ,MIA,QB,21.54
2024,49,NYJ,MIA,RB,33.400000000000006
2024,49,NYJ,MIA,WR/TE,42.4
2024,49,PHI,CAR,QB,15.04
2024,49,PHI,CAR,RB,33.4
2024,49,PHI,CAR,WR/TE,25.5
2024,49,PIT,CLE,QB,15.64
2024,49,PIT,CLE,RB,10.4
2024,49,PIT,CLE,WR/TE,31.3
2024,49,SEA,ARI,QB,15.96
2024,49,SEA,ARI,RB,21.6
