season_year,iso_week,defense_team,opponent_team,position,points_allowed
2024,38,PHI,ATL,QB,17.54
2024,38,PHI,ATL,RB,35.4
2024,38,PHI,ATL,WR/TE,40.2
2024,38,PHI,NO,QB,7.98
2024,38,PHI,NO,RB,14.6
2024,38,PHI,NO,WR/TE,21.6
2024,38,PIT,LAC,QB,9.96
2024,38,PIT,LAC,RB,7.800000000000001
2024,38,PIT,LAC,WR/TE,26.200000000000003
2024,38,SEA,MIA,QB,11.8
2024,38,SEA,MIA,RB,16.5
2024,38,SEA,MIA,WR/TE,29.0
2024,38,SF,LA,QB,12.96
2024,38,SF,LA,RB,31.099999999999998
2024,38,SF,LA,WR/TE,29.900000000000002
2024,38,TB,DEN,QB,23.5
2024,38,TB,DEN,RB,19.4
2024,38,TB,DEN,WR/TE,36.6
2024,38,TEN,GB,QB,25.38
2024,38,TEN,GB,RB,22.9
2024,38,TEN,GB,WR/TE,23.1
2024,39,ARI,WAS,QB,34.92
2024,39,ARI,WAS,RB,57.3
2024,39,ARI,WAS,WR/TE,40.2
2024,39,ATL,NO,QB,10.36
2024,39,ATL,NO,RB,38.699999999999996
2024,39,ATL,NO,WR/TE,46.9
2024,39,BAL,BUF,QB,7.38
2024,39,BAL,BUF,RB,6.4
2024,39,BAL,BUF,WR/TE,31.599999999999998
2024,39,BUF,BAL,QB,23.68
2024,39,BUF,BAL,RB,34.300000000000004
2024,39,BUF,BAL,WR/TE,52.64
2024,39,BUF,JAX,QB,9.7
2024,39,BUF,JAX,RB,11.2
2024,39,BUF,JAX,WR/TE,37.98
2024,39,CAR,CIN,QB,16.28
2024,39,CAR,CIN,RB,39.5
2024,39,CAR,CIN,WR/TE,33.3
2024,39,CHI,LA,QB,4.86
2024,39,CHI,LA,RB,21.0
2024,39,CHI,LA,WR/TE,29.4
2024,39,CIN,CAR,QB,20.9
2024,39,CIN,CAR,RB,47.1
2024,39,CIN,CAR,WR/TE,44.0
2024,39,CIN,WAS,QB,28.06
2024,39,CIN,WAS,RB,39.8
2024,39,CIN,WAS,WR/TE,43.8
2024,39,CLE,LV,QB,11.0
2024,39,CLE,LV,RB,10.2
2024,39,CLE,LV,WR/TE,35.3
2024,39,DAL,NYG,QB,11.54
2024,39,DAL,NYG,RB,9.3
2024,39,DAL,NYG,WR/TE,39.1
2024,39,DEN,NYJ,QB,15.86
2024,39,DEN,NYJ,RB,7.8999999999999995
2024,39,DEN,NYJ,WR/TE,31.9
2024,39,GB,MIN,QB,19.98
2024,39,GB,MIN,RB,17.7
2024,39,GB,MIN,WR/TE,68.2
2024,39,HOU,JAX,QB,16.44
2024,39,HOU,JAX,RB,15.5
2024,39,HOU,JAX,WR/TE,38.199999999999996
2024,39,IND,PIT,QB,31.74
2024,39,IND,PIT,RB,25.3
2024,39,IND,PIT,WR/TE,35.3
2024,39,JAX,BUF,QB,30.94
2024,39,JAX,BUF,RB,25.5
2024,39,JAX,BUF,WR/TE,58.2
2024,39,JAX,HOU,QB,23.9
2024,39,JAX,HOU,RB,14.5
2024,39,JAX,HOU,WR/TE,68.3
2024,39,KC,LAC,QB,11.16
2024,39,KC,LAC,RB,9.6
2024,39,KC,LAC,WR/TE,27.799999999999997
2024,39,LA,CHI,QB,24.7
2024,39,LA,CHI,RB,34.9
2024,39,LA,CHI,WR/TE,29.2
2024,39,LAC,KC,QB,13.0
2024,39,LAC,KC,RB,8.6
2024,39,LAC,KC,WR/TE,44.300000000000004
2024,39,LV,CLE,QB,12.24
2024,39,LV,CLE,RB,13.2
2024,39,LV,CLE,WR/TE,33.9
2024,39,MIN,GB,QB,26.24
2024,39,MIN,GB,RB,14.600000000000001
2024,39,MIN,GB,WR/TE,72.60000000000001
2024,39,NE,SF,QB,13.66
2024,39,NE,SF,RB,18.1
2024,39,NE,SF,WR/TE,39.0
2024,39,NO,ATL,QB,7.52
2024,39,NO,ATL,RB,27.8
2024,39,NO,ATL,WR/TE,24.7
2024,39,NYG,DAL,QB,16.74
2024,39,NYG,DAL,RB,15.5
2024,39,NYG,DAL,WR/TE,37.7
2024,39,NYJ,DEN,QB,15.0
2024,39,NYJ,DEN,RB,12.700000000000001
2024,39,NYJ,DEN,WR/TE,23.900000000000002
2024,39,PHI,TB,QB,28.88
2024,39,PHI,TB,RB,23.6
2024,39,PHI,TB,WR/TE,54.199999999999996
2024,39,PIT,IND,QB,20.36
2024,39,PIT,IND,RB,37.199999999999996
2024,39,PIT,IND,WR/TE,42.9
2024,39,SF,NE,QB,6.86
2024,39,SF,NE,RB,16.5
2024,39,SF,NE,WR/TE,20.200000000000003
2024,39,TB,PHI,QB,17.42
2024,39,TB,PHI,RB,13.5
2024,39,TB,PHI,WR/TE,26.599999999999998
2024,39,WAS,ARI,QB,9.98
2024,39,WAS,ARI,RB,26.4
2024,39,WAS,ARI,WR/TE,24.3
2024,39,WAS,CIN,QB,25.36
2024,39,WAS,CIN,RB,26.1
2024,39,WAS,CIN,WR/TE,56.800000000000004
2024,40,ARI,SF,QB,13.06
2024,40,ARI,SF,RB,10.2
2024,40,ARI,SF,WR/TE,39.4
2024,40,ATL,TB,QB,23.4
2024,40,ATL,TB,RB,12.7
2024,40,ATL,TB,WR/TE,42.599999999999994
2024,40,BAL,CIN,QB,33.78
2024,40,BAL,CIN,RB,19.6
2024,40,BAL,CIN,WR/TE,71.6
2024,40,BUF,HOU,QB,15.94
2024,40,BUF,HOU,RB,23.4
2024,40,BUF,HOU,WR/TE,54.1
2024,40,CAR,CHI,QB,52.96
2024,40,CAR,CHI,RB,33.5
2024,40,CAR,CHI,WR/TE,71.7
2024,40,CHI,CAR,QB,15.079999999999998
2024,40,CHI,CAR,RB,34.800000000000004
2024,40,CHI,CAR,WR/TE,30.700000000000003
2024,40,CIN,BAL,QB,32.94
2024,40,CIN,BAL,RB,16.1
2024,40,CIN,BAL,WR/TE,75.5
2024,40,CLE,WAS,QB,21.44
2024,40,CLE,WAS,RB,48.9
2024,40,CLE,WAS,WR/TE,31.2
2024,40,DAL,PIT,QB,16.46
2024,40,DAL,PIT,RB,19.9
2024,40,DAL,PIT,WR/TE,29.86
2024,40,DEN,LV,QB,9.44
2024,40,DEN,LV,RB,19.7
2024,40,DEN,LV,WR/TE,35.699999999999996
2024,40,DET,SEA,QB,21.12
2024,40,DET,SEA,RB,38.1
2024,40,DET,SEA,WR/TE,50.9
2024,40,GB,LA,QB,12.2
2024,40,GB,LA,RB,20.4
2024,40,GB,LA,WR/TE,42.5
2024,40,HOU,BUF,QB,12.84
2024,40,HOU,BUF,RB,21.099999999999998
2024,40,HOU,BUF,WR/TE,19.900000000000002
2024,40,IND,JAX,QB,27.04
2024,40,IND,JAX,RB,30.499999999999996
2024,40,IND,JAX,WR/TE,52.9
2024,40,JAX,IND,QB,26.64
2024,40,JAX,IND,RB,22.6
2024,40,JAX,IND,WR/TE,65.56
2024,40,LA,GB,QB,15.96
2024,40,LA,GB,RB,17.9
2024,40,LA,GB,WR/TE,41.6
2024,40,LV,DEN,QB,35.04
2024,40,LV,DEN,RB,23.6
2024,40,LV,DEN,WR/TE,47.8
2024,40,MIA,NE,QB,8.1
2024,40,MIA,NE,RB,23.6
2024,40,MIA,NE,WR/TE,21.8
2024,40,MIA,TEN,QB,11.799999999999999
2024,40,MIA,TEN,RB,28.0
2024,40,MIA,TEN,WR/TE,18.099999999999998
2024,40,MIN,NYJ,QB,15.059999999999999
2024,40,MIN,NYJ,RB,8.5
2024,40,MIN,NYJ,WR/TE,49.5
2024,40,NE,MIA,QB,6.46
2024,40,NE,MIA,RB,35.1
2024,40,NE,MIA,WR/TE,31.4
2024,40,NYG,SEA,QB,22.56
2024,40,NYG,SEA,RB,15.6
2024,40,NYG,SEA,WR/TE,33.8
2024,40,NYJ,MIN,QB,5.18
2024,40,NYJ,MIN,RB,10.899999999999999
2024,40,NYJ,MIN,WR/TE,42.199999999999996
2024,40,PIT,DAL,QB,16.38
2024,40,PIT,DAL,RB,20.4
2024,40,PIT,DAL,WR/TE,53.7
2024,40,SEA,DET,QB,41.68
2024,40,SEA,DET,RB,49.300000000000004
2024,40,SEA,DET,WR/TE,45.7
2024,40,SEA,NYG,QB,28.08
2024,40,SEA,NYG,RB,13.5
2024,40,SEA,NYG,WR/TE,54.7
2024,40,SF,ARI,QB,24.1
2024,40,SF,ARI,RB,11.5
2024,40,SF,ARI,WR/TE,32.1
2024,40,TB,ATL,QB,34.52
2024,40,TB,ATL,RB,22.4
2024,40,TB,ATL,WR/TE,90.4
2024,40,TEN,MIA,QB,11.84
2024,40,TEN,MIA,RB,13.8
2024,40,TEN,MIA,WR/TE,15.6
2024,40,WAS,CLE,QB,8.74
2024,40,WAS,CLE,RB,13.1
