Name,wOBA,xwOBA
Victor Caratini,0.312,0.310
Nick Castellanos,0.335,0.320
Mike Moustakas,0.294,0.270
Jarren Duran,0.354,0.319
Yu Chang,0.236,0.258
Tyler Nevin,0.282,0.305
Lane Thomas,0.334,0.319
Carlos Santana,0.323,0.308
Austin Riley,0.363,0.365
Jonathan Schoop,0.249,0.276
Vladimir Guerrero Jr.,0.340,0.375
Willson Contreras,0.358,0.373
Edmundo Sosa,0.309,0.296
Matthew Batten,0.321,0.270
Tyrone Taylor,0.302,0.304
Vidal Brujan,0.206,0.212
Yordan Alvarez,0.415,0.438
Nelson Velazquez,0.369,0.374
Ceddanne Rafaela,0.287,0.238
Anthony Volpe,0.290,0.305
Evan Longoria,0.308,0.324
Ty France,0.315,0.342
Edwin Rios,0.219,0.272
Chris Owings,0.141,0.129
Greg Allen,0.349,0.192
Cooper Hummel,0.163,0.266
Peyton Burdick,0.269,0.257
Isan Diaz,0.087,0.122
Drew Ellis,0.373,0.374
Yonny Hernandez,0.197,0.204
Kyle Garlick,0.280,0.333
Dalton Guthrie,0.239,0.281
Canaan Smith-Njigba,0.199,0.239
Kyle Stowers,0.117,0.193
Buddy Kennedy,0.255,0.303
Nathan Lukes,0.266,0.276
Jose Tena,0.264,0.236
Bligh Madris,0.222,0.276
Luis Torrens,0.289,0.266
Heston Kjerstad,0.318,0.363
Jordan Lawlar,0.166,0.189
Bobby Dalbec,0.254,0.275
Logan Porter,0.297,0.302
Marco Luciano,0.293,0.292
Sandy Leon,0.173,0.168
Tyler Fitzgerald,0.310,0.200
David Hamilton,0.216,0.227
Jasson Dominguez,0.403,0.355
Drew Millas,0.365,0.354
Kyren Paris,0.156,0.237
Eguy Rosario,0.322,0.249
TJ Hopkins,0.189,0.214
Jordyn Adams,0.110,0.171
Taylor Trammell,0.279,0.313
Oneil Cruz,0.335,0.322
Joey Ortiz,0.192,0.244
Blake Rutherford,0.166,0.170
Sean Bouchard,0.432,0.372
Cody Thomas,0.300,0.209
Travis Blankenhorn,0.262,0.322
Sam Huff,0.337,0.321
Ivan Herrera,0.349,0.341
Junior Caminero,0.276,0.278
Coco Montes,0.247,0.203
J.P. Martinez,0.246,0.232
Oscar Mercado,0.304,0.273
Brett Phillips,0.268,0.236
Andre Lipcius,0.326,0.298
Spencer Horwitz,0.322,0.296
Trey Cabbage,0.238,0.179
Adam Haseley,0.253,0.290
Grae Kessinger,0.275,0.299
Andrew Stevenson,0.216,0.202
Bryce Johnson,0.218,0.234
Jared Young,0.302,0.276
Kyle Lewis,0.204,0.220
Tyler Heineman,0.325,0.333
Wade Meckler,0.273,0.265
Nate Eaton,0.101,0.200
Jorge Alfaro,0.223,0.270
Jo Adell,0.299,0.238
Darin Ruf,0.287,0.354
Jonny DeLuca,0.320,0.271
Darick Hall,0.193,0.237
Jake Lamb,0.267,0.275
Derek Hill,0.190,0.219
Tim Locastro,0.327,0.315
Heliot Ramos,0.236,0.255
Jason Vosler,0.241,0.211
Franmil Reyes,0.227,0.263
Carlos Perez,0.267,0.250
Tyler Wade,0.278,0.246
Sam Hilliard,0.312,0.277
Bubba Thompson,0.230,0.226
Evan Carter,0.435,0.341
Terrin Vavra,0.261,0.305
Colton Cowser,0.226,0.301
Garrett Mitchell,0.326,0.286
Samad Taylor,0.248,0.274
Juan Yepez,0.243,0.298
Tomas Nido,0.128,0.172
Luke Voit III,0.251,0.286
Estevan Florial,0.288,0.306
